time,range,elevation,velocity,azimuth
10,6023.24905084028,-20.4750616707429,-6.25712807270788,194.513181481825
10.1,6022.62295167503,-20.4268503327509,-6.25726385534166,194.558167147823
10.2,6021.99765750218,-20.4346629620542,-6.25741170801315,194.430426577984
10.3000000000001,6021.3718315047,-20.5022272442687,-6.25754763523225,194.445024711121
10.4,6020.7463850644,-20.3839033740712,-6.25769196049405,194.431426171565
10.5,6020.12073151819,-20.4313965372472,-6.25783380994849,194.444451166462
10.6,6019.49494375865,-20.5234141516813,-6.25797493131862,194.520835333423
10.7,6018.86928521389,-20.5205923956195,-6.25811692986071,194.4959688814
10.8000000000001,6018.24292162399,-20.4282904277799,-6.2582533040121,194.459725603181
10.9,6017.61721404095,-20.5340147805949,-6.25839459441027,194.347338377728
11,6016.99135762222,-20.477706297567,-6.25854038620856,194.395609697277
11.1,6016.36563397292,-20.4601845420015,-6.25867926957895,194.47641463308
11.2,6015.73983383821,-20.5699273524216,-6.25881925086276,194.432026879163
11.3000000000001,6015.11361913723,-20.3823722990382,-6.25896016829498,194.375039313485
11.4,6014.48785515995,-20.4355262710365,-6.25910089520339,194.473384890596
11.5,6013.86169786173,-20.4566564305103,-6.2592415412151,194.428601157801
11.6,6013.23588537954,-20.5574655141776,-6.2593797437257,194.504105146477
11.7,6012.60999999537,-20.5036554808452,-6.25951990566368,194.463465092069
11.8000000000001,6011.98426293846,-20.4724575846146,-6.2596609787967,194.431403647043
11.9,6011.3580684958,-20.4772350734921,-6.25980365057669,194.498449206514
12,6010.73216858823,-20.48219234952,-6.25994557421142,194.376356495544
12.1,6010.10617346079,-20.4049875574044,-6.26008522162527,194.530534138349
12.2,6009.48006351202,-20.4205096133539,-6.26022428611345,194.48805758756
12.3000000000001,6008.85421349628,-20.3335012242966,-6.26036701528703,194.366557970057
12.4,6008.22838241203,-20.3952739796455,-6.260503964178,194.440850843528
12.5,6007.60210575372,-20.3837354613392,-6.26064759873834,194.505844361406
12.6,6006.9758294974,-20.3319670589825,-6.26078914976182,194.49893938161
12.7,6006.34992386211,-20.3636738526559,-6.26092743030184,194.568870077287
12.8000000000001,6005.72365916936,-20.4228568708849,-6.26106688098811,194.410289213355
12.9,6005.09771858732,-20.4927039574545,-6.26120691176285,194.470744059501
13,6004.47155753295,-20.527275765951,-6.26135127611046,194.468155026134
13.1,6003.84500724133,-20.3435642250103,-6.26148511641958,194.532962129503
13.2,6003.21911538505,-20.4746828382511,-6.26162896789552,194.366733345249
13.3000000000001,6002.59285904123,-20.3523654143954,-6.26176813694425,194.568846972955
13.4,6001.96674635388,-20.3538743764757,-6.26190837067004,194.512747701277
13.5,6001.34059119865,-20.38540092094,-6.26205205705694,194.462815515445
13.6,6000.71474198163,-20.3991461965686,-6.26219197428203,194.412513126961
13.7,6000.08841939977,-20.3791497125865,-6.26233303764636,194.373489242438
13.8000000000001,5999.46193428796,-20.3221227219217,-6.26246747087454,194.498520548013
13.9,5998.83570880837,-20.4580700250816,-6.26261159404967,194.382647357665
14,5998.20965182829,-20.325885133262,-6.26274933608113,194.539745548442
14.1,5997.58332488772,-20.3182240449786,-6.26289079494872,194.539227838274
14.2,5996.95716814653,-20.2936965177038,-6.26303125018324,194.520458355025
14.3000000000001,5996.33035365121,-20.3841872235079,-6.2631730940683,194.525530181022
14.4,5995.70444187317,-20.4073211041533,-6.26330579720392,194.486524597945
14.5,5995.07769870744,-20.2366792381872,-6.26345062579906,194.354404864574
14.6,5994.4517906813,-20.3367235248737,-6.26358747179342,194.423820821014
14.7,5993.82525491524,-20.4483056208139,-6.2637316543587,194.565218098698
14.8000000000001,5993.198465099,-20.329725275263,-6.26387088702247,194.486297750166
14.9,5992.57246900994,-20.3352055727663,-6.26401020981903,194.573447879687
15,5991.94592729577,-20.2445405770742,-6.26414976772725,194.541341280632
15.1,5991.3194217739,-20.3484737261733,-6.26428718685032,194.433013944284
15.2,5990.69299859816,-20.2859177053369,-6.26442712590191,194.511565996719
15.3000000000001,5990.0668205396,-20.3436072632877,-6.26457162970848,194.496431263965
15.4,5989.44001474567,-20.333752244509,-6.26471015848365,194.576047786055
15.5,5988.81391107597,-20.2578075576185,-6.26484877709395,194.485335836097
15.6,5988.1873906531,-20.2543861823586,-6.26499055852482,194.525120855253
15.7,5987.5607801736,-20.2760978494518,-6.26512600541312,194.415889098122
15.8000000000001,5986.93455324042,-20.2921493300858,-6.26526579557285,194.395694015223
15.9,5986.3077214906,-20.3541519572522,-6.26540849355085,194.530060202252
16,5985.68130328577,-20.2784088968053,-6.26554537770448,194.520523249197
16.1,5985.05482909912,-20.2770088441365,-6.26568433500282,194.585773903871
16.2,5984.4282424846,-20.1996038255095,-6.26582248329478,194.487324828779
16.3000000000001,5983.80141877976,-20.2667563944013,-6.26596297703847,194.608042330755
16.4,5983.1751901611,-20.2651102251656,-6.2661020907678,194.503927403355
16.5,5982.54828886382,-20.2536939054296,-6.26624256012457,194.560679532517
16.6,5981.92164117135,-20.2024188973293,-6.2663857860678,194.602804224418
16.7,5981.2947105488,-20.3222836246361,-6.26652194847353,194.525753902558
